assessment_id,type,scope_item_id,co2,ch4,n2o,other,total,co2_biogenic
1,Déclaration,1,624.0,1.0,3.0,0.0,628.0,0.0
1,Déclaration,2,4565.0,2.0,42.0,0.0,4609.0,266.0
1,Déclaration,3,0.0,0.0,0.0,0.0,0.0,0.0
1,Déclaration,4,0.0,0.0,0.0,780.0,780.0,0.0
1,Déclaration,5,0.0,0.0,0.0,0.0,0.0,0.0
1,Déclaration,6,,,,,2170.0,0.0
1,Déclaration,7,,,,,,0.0
1,Déclaration,8,,,,,1855.0,
1,Déclaration,9,,,,,13221.0,
1,Déclaration,10,,,,,23536.0,
1,Déclaration,11,,,,,99.0,
1,Déclaration,12,,,,,1303.0,
1,Déclaration,13,,,,,2127.0,
1,Déclaration,16,,,,,5367.0,
1,Déclaration,22,,,,,12423.0,
2,Déclaration,1,786.13,0.04,0.02,0.0,786.19,0.0
2,Déclaration,2,0.0,0.0,0.0,0.0,0.0,0.0
2,Déclaration,3,0.0,0.0,0.0,0.0,0.0,0.0
2,Déclaration,4,0.0,0.0,0.0,0.0,0.0,0.0
2,Déclaration,5,0.0,0.0,0.0,0.0,0.0,0.0
2,Déclaration,6,,,,,516.26,0.0
2,Déclaration,7,,,,,,0.0
2,Déclaration,8,,,,,7.25,
2,Déclaration,13,,,,,1156.84,
3,Déclaration,1,787.0,0.0,0.0,12.0,799.0,0.0
3,Déclaration,2,25.0,0.0,0.0,0.0,25.0,1.0
3,Déclaration,3,0.0,0.0,0.0,0.0,0.0,0.0
3,Déclaration,4,0.0,0.0,0.0,0.0,0.0,0.0
3,Déclaration,5,0.0,0.0,0.0,0.0,0.0,0.0
3,Déclaration,6,,,,,382.0,0.0
3,Déclaration,7,,,,,,0.0
4,Déclaration,1,19686.0,0.0,0.0,0.0,19686.0,0.0
4,Déclaration,2,125.0,0.0,0.0,0.0,125.0,0.0
4,Déclaration,3,0.0,0.0,0.0,0.0,0.0,0.0
4,Déclaration,4,0.0,0.0,0.0,0.0,0.0,0.0
4,Déclaration,5,0.0,0.0,0.0,0.0,0.0,0.0
4,Déclaration,6,,,,,,0.0
4,Déclaration,7,,,,,,0.0
4,Déclaration,9,,,,,4385.0,
4,Déclaration,10,,,,,7681.0,
4,Déclaration,11,,,,,21699.0,
4,Déclaration,12,,,,,609.0,
4,Déclaration,13,,,,,14300.0,
5,Déclaration,1,494.37,0.0,0.0,0.0,494.37,0.0
5,Déclaration,2,482.79,0.0,0.0,0.0,482.79,0.0
5,Déclaration,3,0.0,0.0,0.0,0.0,0.0,0.0
5,Déclaration,4,0.0,0.0,0.0,0.0,0.0,0.0
5,Déclaration,5,0.0,0.0,0.0,0.0,0.0,0.0
5,Déclaration,6,,,,,113.1,0.0
5,Déclaration,7,,,,,,0.0
6,Déclaration,1,1746.44,0.0,0.0,0.0,1746.44,0.0
6,Déclaration,2,1258.17,0.0,0.0,0.0,1258.17,2.52
6,Déclaration,3,0.0,0.0,0.0,0.0,0.0,0.0
6,Déclaration,4,0.0,76.38,0.0,0.0,76.38,0.0
6,Déclaration,5,0.0,0.0,0.0,0.0,0.0,0.0
6,Déclaration,6,,,,,1416.92,0.0
6,Déclaration,7,,,,,68.26,0.0
6,Déclaration,8,,,,,411.9,14.42
6,Déclaration,9,,,,,3312.86,
6,Déclaration,10,,,,,1570.26,
6,Déclaration,11,,,,,534.67,
6,Déclaration,16,,,,,1038.5,
6,Déclaration,22,,,,,654.13,
7,Déclaration,1,17487.0,2.0,1.0,0.0,17490.0,0.0
7,Déclaration,2,312.0,0.0,0.0,0.0,312.0,0.0
7,Déclaration,3,0.0,0.0,0.0,0.0,0.0,0.0
7,Déclaration,4,0.0,0.0,0.0,0.0,0.0,0.0
7,Déclaration,5,0.0,0.0,0.0,0.0,0.0,0.0
7,Déclaration,6,,,,,409.0,0.0
7,Déclaration,7,,,,,22910.0,0.0
8,Déclaration,1,918.0,0.0,0.0,0.0,918.0,0.0
8,Déclaration,2,2586.0,0.0,0.0,0.0,2586.0,148.0
8,Déclaration,3,0.0,0.0,0.0,0.0,0.0,0.0
8,Déclaration,4,0.0,0.0,0.0,628.0,628.0,0.0
8,Déclaration,5,0.0,0.0,0.0,0.0,0.0,0.0
8,Déclaration,6,,,,,2432.0,0.0
8,Déclaration,7,,,,,,0.0
10,Déclaration,1,2095.0,0.0,0.0,0.0,2095.0,23.0
10,Déclaration,2,110.0,0.0,0.0,0.0,110.0,0.0
10,Déclaration,3,0.0,0.0,0.0,0.0,0.0,0.0
10,Déclaration,4,0.0,0.0,0.0,0.0,0.0,0.0
10,Déclaration,5,0.0,0.0,0.0,79.0,79.0,0.0
10,Déclaration,6,,,,,231.0,0.0
10,Déclaration,7,,,,,,0.0
10,Déclaration,8,,,,,165.0,23.0
10,Déclaration,9,,,,,286.0,
10,Déclaration,10,,,,,285.0,
10,Déclaration,11,,,,,29.0,
