assessment_id,legal_unit_id_type,legal_unit_id
1,SIREN,775709702
2,SIREN,085480069
3,SIREN,180600041
7,SIREN,778596502
8,SIREN,867800427
9,SIREN,353821028
11,SIREN,385290309
12,SIREN,180600033
13,SIREN,262405871
14,SIREN,775644149
15,SIREN,266800192
16,SIREN,326180544
24,SIREN,260304936
25,SIREN,525580130
27,SIREN,264702689
29,SIREN,955801204
30,SIREN,267901213
31,SIREN,781423280
32,SIREN,389272295
34,SIREN,218400075
34,SIRET,21840007500014
35,SIREN,268600020
36,SIREN,388238842
37,SIREN,775569726
46,SIREN,411708605
49,SIREN,281600015
70,SIREN,225900018
70,SIRET,22590001800014
76,SIREN,383743317
77,SIREN,967504697
77,SIREN,697504697
77,SIRET,96750469700822
77,SIRET,96750469700566
77,SIRET,96750469700095
77,SIRET,96750469701051
77,SIRET,96750469700616
77,SIRET,96750469700624
77,SIRET,96750469701036
77,SIRET,96750469700632
77,SIRET,96750469701085
77,SIRET,96750469701127
77,SIRET,96750469701044
77,SIRET,96750469700657
77,SIRET,96750469701093
77,SIRET,96750469700608
77,SIRET,96750469700673
77,SIRET,96750469701101
77,SIRET,96750469700681
77,SIRET,96750469701119
77,SIRET,96750469700954
77,SIRET,96750469700509
77,SIRET,96750469700723
77,SIRET,96750469700574
77,SIRET,96750469700699
77,SIRET,96750469700160
77,SIRET,96750469701069
77,SIRET,96750469701077
77,SIRET,69750469700715
77,SIRET,96750469700707
77,SIRET,96750469700228
77,SIRET,96750469700558
77,SIRET,96750469700665
77,SIRET,96750469700541
77,SIRET,96750469701028
77,SIRET,96750469700236
81,SIREN,535113062
82,SIREN,410546956
88,SIREN,403221930
88,SIRET,40322193000023
91,SIREN,440949774
91,SIREN,440815595
91,SIREN,477808281
91,SIREN,441978467
91,SIREN,385309588
91,SIREN,440949576
92,SIREN,444420830
95,SIREN,261700272
96,SIREN,548500149
106,SIREN,455501452
108,SIREN,737050187
110,SIREN,737050187
111,SIREN,737050187
112,SIREN,325645711
113,SIREN,321970782
114,SIREN,353821028
119,SIREN,572028033
119,SIRET,57202803300064
119,SIRET,57202803300106
119,SIRET,57202803300122
119,SIRET,57202803300080
123,SIREN,480470152
132,SIREN,195935598
133,SIREN,404536922
134,SIREN,192903466
138,SIREN,085480069
139,SIREN,265703041
140,SIREN,435377684
141,SIREN,775644149
141,SIRET,77564414900426
141,SIRET,77564414900442
141,SIRET,77564414900434
141,SIRET,77564414900228
141,SIRET,77564414900160
141,SIRET,77564414900137
141,SIRET,77564414900376
141,SIRET,77564414900251
141,SIRET,77564414900467
141,SIRET,77564414900509
141,SIRET,77564414900517
141,SIRET,77564414900558
141,SIRET,77564414900053
141,SIRET,77564414900285
141,SIRET,77564414900541
141,SIRET,77564414900293
141,SIRET,77564414900244
141,SIRET,77564414900236
141,SIRET,77564414900277
141,SIRET,77564414900400
141,SIRET,77564414900103
143,SIREN,722621166
144,SIREN,267901213
146,SIREN,196244016
148,SIREN,676250111
149,SIREN,319632790
149,SIREN,775728025
149,SIREN,388432171
149,SIREN,971509070
149,SIREN,986120186
150,SIREN,709200307
153,SIREN,552083297
153,SIREN,444656680
153,SIREN,552018020
153,SIREN,695721902
153,SIREN,302474648
153,SIREN,552011983
154,SIREN,399311745
156,SIREN,552046955
156,SIRET,55204695502429
156,SIRET,55204695500183
156,SIRET,55204695500233
156,SIRET,55204695500258
156,SIRET,55204695500282
156,SIRET,55204695500308
156,SIRET,55204695500324
156,SIRET,55204695500399
156,SIRET,55204695500423
156,SIRET,55204695500431
156,SIRET,55204695500522
156,SIRET,55204695500555
156,SIRET,55204695500597
156,SIRET,55204695500613
156,SIRET,55204695500654
156,SIRET,55204695500670
156,SIRET,55204695500688
156,SIRET,55204695500696
156,SIRET,55204695500704
156,SIRET,55204695500712
156,SIRET,55204695500720
156,SIRET,55204695500746
156,SIRET,55204695500753
156,SIRET,55204695500761
156,SIRET,55204695500779
156,SIRET,55204695500795
156,SIRET,55204695500811
156,SIRET,55204695500837
156,SIRET,55204695500845
156,SIRET,55204695500852
156,SIRET,55204695500860
156,SIRET,55204695500878
156,SIRET,55204695500886
156,SIRET,55204695500894
156,SIRET,55204695500902
156,SIRET,55204695500928
156,SIRET,55204695500936
156,SIRET,55204695500944
156,SIRET,55204695500951
156,SIRET,55204695500969
156,SIRET,55204695500985
156,SIRET,55204695500993
156,SIRET,55204695501017
156,SIRET,55204695501025
156,SIRET,55204695501041
156,SIRET,55204695501066
156,SIRET,55204695501074
156,SIRET,55204695501082
156,SIRET,55204695501108
156,SIRET,55204695501132
156,SIRET,55204695501157
156,SIRET,55204695501165
156,SIRET,55204695501181
156,SIRET,55204695501199
156,SIRET,55204695501215
156,SIRET,55204695501231
156,SIRET,55204695501249
156,SIRET,55204695501264
156,SIRET,55204695501272
156,SIRET,55204695501280
156,SIRET,55204695501298
156,SIRET,55204695501306
156,SIRET,55204695501314
156,SIRET,55204695501322
156,SIRET,55204695501330
156,SIRET,55204695501355
156,SIRET,55204695501363
156,SIRET,55204695501371
156,SIRET,55204695501389
156,SIRET,55204695501405
156,SIRET,55204695501421
156,SIRET,55204695501439
156,SIRET,55204695501447
156,SIRET,55204695501470
156,SIRET,55204695501488
156,SIRET,55204695501504
156,SIRET,55204695501512
156,SIRET,55204695501520
156,SIRET,55204695501546
156,SIRET,55204695501561
156,SIRET,55204695501595
156,SIRET,55204695501603
156,SIRET,55204695501611
156,SIRET,55204695501629
156,SIRET,55204695501637
156,SIRET,55204695501645
156,SIRET,55204695501660
156,SIRET,55204695501678
156,SIRET,55204695501686
156,SIRET,55204695501728
156,SIRET,55204695501736
156,SIRET,55204695501744
156,SIRET,55204695501751
156,SIRET,55204695501769
156,SIRET,55204695501777
156,SIRET,55204695501793
156,SIRET,55204695501819
156,SIRET,55204695501835
156,SIRET,55204695501843
156,SIRET,55204695501850
156,SIRET,55204695501868
156,SIRET,55204695501892
156,SIRET,55204695501918
156,SIRET,55204695501942
156,SIRET,55204695501967
156,SIRET,55204695501975
156,SIRET,55204695502007
156,SIRET,55204695502015
156,SIRET,55204695502031
156,SIRET,55204695502049
156,SIRET,55204695502056
156,SIRET,55204695502064
156,SIRET,55204695502072
156,SIRET,55204695502098
156,SIRET,55204695502106
156,SIRET,55204695502114
156,SIRET,55204695502130
156,SIRET,55204695502155
156,SIRET,55204695502163
156,SIRET,55204695502197
156,SIRET,55204695502213
156,SIRET,55204695502221
156,SIRET,55204695502239
156,SIRET,55204695502254
156,SIRET,55204695502262
156,SIRET,55204695502270
156,SIRET,55204695502288
156,SIRET,55204695502296
156,SIRET,55204695502312
156,SIRET,55204695502320
156,SIRET,55204695502338
156,SIRET,55204695502346
156,SIRET,55204695502353
156,SIRET,55204695502361
156,SIRET,55204695502510
156,SIRET,55204695502528
156,SIRET,55204695502536
156,SIRET,55204695502544
156,SIRET,55204695502569
156,SIRET,55204695502577
156,SIRET,55204695502619
156,SIRET,55204695502684
156,SIRET,55204695502692
156,SIRET,55204695502635
156,SIRET,55204695502718
156,SIRET,55204695502593
156,SIRET,55204695502627
156,SIRET,55204695502601
156,SIRET,55204695502668
156,SIRET,55204695502650
156,SIRET,55204695502700
156,SIRET,55204695502734
156,SIRET,55204695502726
156,SIRET,55204695502742
156,SIRET,55204695502759
156,SIRET,55204695502775
156,SIRET,55204695502783
156,SIRET,55204695502791
156,SIRET,55204695502817
156,SIRET,55204695502809
156,SIRET,55204695502825
156,SIRET,55204695502833
156,SIRET,55204695502841
156,SIRET,55204695502866
156,SIRET,55204695502882
156,SIRET,55204695502890
156,SIRET,55204695502908
156,SIRET,55204695502916
156,SIRET,55204695502932
156,SIRET,55204695502924
156,SIRET,55204695502940
156,SIRET,55204695502957
156,SIRET,55204695502965
156,SIRET,55204695502973
156,SIRET,55204695502981
156,SIRET,55204695502999
156,SIRET,55204695503013
156,SIRET,55204695503005
156,SIRET,55204695503021
156,SIRET,55204695503039
156,SIRET,55204695503047
156,SIRET,55204695503054
156,SIRET,55204695503062
156,SIRET,55204695503070
156,SIRET,55204695503088
156,SIRET,55204695503096
156,SIRET,55204695503104
156,SIRET,55204695503112
156,SIRET,55204695503120
156,SIRET,55204695503138
156,SIRET,55204695503146
156,SIRET,55204695503153
156,SIRET,55204695503161
156,SIRET,55204695503179
156,SIRET,55204695503187
156,SIRET,55204695503195
156,SIRET,55204695503203
156,SIRET,55204695503211
156,SIRET,55204695503237
156,SIRET,55204695503229
156,SIRET,55204695503245
156,SIRET,55204695503252
156,SIRET,55204695503260
156,SIRET,55204695503377
156,SIRET,55204695503401
156,SIRET,55204695502387
156,SIRET,55204695502395
156,SIRET,55204695502478
156,SIRET,55204695502403
156,SIRET,55204695502411
156,SIRET,55204695502437
156,SIRET,55204695502445
156,SIRET,55204695502460
156,SIRET,55204695502494
156,SIRET,55204695502502
156,SIRET,55204695503278
156,SIRET,55204695503286
156,SIRET,55204695503294
156,SIRET,55204695503302
156,SIRET,55204695503310
156,SIRET,55204695503328
156,SIRET,55204695503344
156,SIRET,55204695503336
156,SIRET,55204695503351
156,SIRET,55204695503369
156,SIRET,55204695503393
156,SIRET,55204695503385
156,SIRET,55204695503419
158,SIREN,562123513
158,SIRET,56212351300037
158,SIRET,56212351300045
158,SIRET,56212351300052
160,SIREN,382286904
161,SIREN,748801906
161,SIREN,758801906
162,SIREN,867800427
163,SIREN,334204971
163,SIRET,33420497100005
163,SIRET,33420497100001
163,SIRET,33420497100002
163,SIRET,33420497100003
164,SIREN,755501590
165,SIREN,776916207
166,SIREN,301850277
167,SIREN,552115891
168,SIREN,310505748
171,SIREN,542107651
171,SIREN,957520901
171,SIREN,444786511
171,SIREN,542097324
171,SIREN,552046955
173,SIREN,304602956
174,SIREN,789791464
175,SIREN,780129987
176,SIREN,702023433
178,SIREN,514111145
179,SIREN,319851408
180,SIREN,370200537
181,SIREN,305836033
182,SIREN,312212301
183,SIREN,265700021
187,SIREN,326180544
187,SIRET,32618054400123
187,SIRET,32618054400230
187,SIRET,32618054400198
187,SIRET,32618054400305
187,SIRET,32618054400297
187,SIRET,32618054400313
187,SIRET,32618054400347
187,SIRET,32618054400412
187,SIRET,32618054400099
187,SIRET,32618054400172
187,SIRET,32618054400180
187,SIRET,32618054400370
187,SIRET,32618054400214
187,SIRET,32618054400339
187,SIRET,32618054400073
187,SIRET,32618054400156
187,SIRET,32618054400024
187,SIRET,32618054400404
187,SIRET,32618054400362
187,SIRET,32618054400222
187,SIRET,32618054400289
187,SIRET,32618054400354
187,SIRET,32618054400321
188,SIREN,491371167
188,SIRET,49137116700017
190,SIREN,804790350
191,SIREN,722057460
192,SIREN,857500227
193,SIREN,308077635
194,SIREN,542029848
195,SIREN,642044366
196,SIREN,775690621
202,SIREN,775618622
203,SIREN,775709702
204,SIREN,732075312
204,SIRET,73207531200122
206,SIREN,622042422
207,SIREN,306020140
207,SIRET,30602014000043
207,SIRET,30602014000183
207,SIRET,30602014000126
207,SIRET,30602014000134
207,SIRET,30602014000118
207,SIRET,30602014000100
208,SIREN,542820352
209,SIREN,946051018
209,SIRET,94605101800012
209,SIRET,94605101800103
209,SIRET,94605101800061
209,SIRET,94605101800046
210,SIREN,399315613
211,SIREN,428734123
212,SIREN,419892336
213,SIREN,333491066
214,SIREN,339812059
214,SIRET,33981205900014
215,SIREN,440056463
215,SIRET,44005646300050
215,SIRET,44005646300381
215,SIRET,44005646300068
215,SIRET,44005646300076
215,SIRET,44005646300092
215,SIRET,44005646300100
