id,organization_name,organization_description,organization_type,collectivity_type,staff,population,consolidation_method,reporting_year,total_scope_1,total_scope_2,total_scope_3,reference_year,action_plan,reductions_scope_1_2,reductions_scope_1,reductions_scope_2,reductions_scope_3,is_draft,source_url
1,Mutuelle d’Assurance des Instituteurs de France,Mutuelle d’assurance,Entreprise,,6848,,Opérationnel,2011,6017.0,2170.0,59931.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/1/back/bilans
2,ADIDAS France,"ADIDAS France est une entreprise de distribution et de vente des articles de sport de la marque (tee-shirts, chaussures, …).",Entreprise,,768,,Opérationnel,2011,786.19,516.26,1164.09,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/2/back/bilans
3,CROUS Nice-Toulon,"Les activités gérées par le CROUS de Nice-Toulon sont :
- Les bourses : plus de 13 000 boursiers sur les 50 000 étudiants que compte
l’Académie de Nice
- Le logement : Plus de 3 700 étudiants logés dans les 13 résidences universitaires
- La restauration : 7 restaurants dont 5 avec cafétéria intégrée et 6 cafétérias
indépendantes soit plus de 4 600 places
- L’accueil des étudiants internationaux
- Le logement chez les particuliers
- L’action sociale
- L’emploi temporaire
- L’action cult",Etablissement public,,261,,Opérationnel,2011,824.0,382.0,0.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/3/back/bilans
4,Fort de France,,Collectivité territoriale (dont EPCI),Communes,3000,94000.0,,2010,19811.0,0.0,48674.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/4/back/bilans
5,concarneau Cornouaille Agglomération,,Collectivité territoriale (dont EPCI),Communes,102,49000.0,,2011,977.1600000000001,113.1,0.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/5/back/bilans
6,Communauté Urbaine d'Alençon,,Collectivité territoriale (dont EPCI),Communes,733,57490.0,,2012,3080.9900000000002,1485.18,7522.320000000001,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/6/back/bilans
7,OPAC Saône et Loire,"Premier bailleur social en Bourgogne, l'OPAC Saône et Loire est présent sur 300 communes du département, et gérait en 2011 25 057 baux pour un chiffre d'affaires  de 127 M€",Etablissement public,,557,,Opérationnel,2011,17802.0,23319.0,0.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/7/back/bilans
8,Système U Ouest,"Coopérative / Centrale d'achat d'approvisionnement de produits alimentaires et non
alimentaires",Entreprise,,2711,,Opérationnel,2012,4132.0,2432.0,0.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/8/back/bilans
9,Caisse d'Epargne Aquitaine Poitou-Charentes,"La Caisse d'Epargne Aquitaine Poitou-Charentes est une des 17 Caisses d’Epargne du Groupe BPCE. Elle a pour objet toutes opérations de banque, de services d’investissement et d’intermédiation d’assurance effectuées avec ses sociétaires et avec les tiers. Elle peut également effectuer toutes opérations connexes aux opérations de banque et de services d’investissement, exercer l’activité d’intermédiaire ou d’entremise dans le domaine immobilier, prendre toutes participations et, généralement, effe",Entreprise,,2732,,Opérationnel,2011,,,,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/9/back/bilans
10,Communauté d'Agglomération de l'Espace Sud Martinique,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,210,123476.0,,2012,2284.0,231.0,4271.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/10/back/bilans
11,ADEME (Agence de l'environnement et de la Maîtrise de l'Energie),"L’ADEME est un établissement Public à caractère Industriel et Commercial (EPIC) régi par le Code de l’environnement.
L'ADEME participe à la mise en œuvre des politiques publiques dans les domaines de l'environnement, de l'énergie et du développement durable. Afin de leur permettre de progresser dans leur démarche environnementale, l'Agence met à disposition des entreprises, des collectivités locales, des pouvoirs publics et du grand public, ses capacités d'expertise et de conseil. Elle aide en",Etablissement public,,963,,Opérationnel,2011,717.0,286.0,70757.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/11/back/bilans
12,Chambre des métiers et de l'artisanat du Var,"La Chambre de Métiers et de l’Artisanat du Var dispose de son siège sur le site de La Valette du Var.
L’activité principale des sites est de dispenser des formations dans les différents domaines suivants : comptabilité, secrétariat, commerce, mécanique, hôtellerie restauration, esthétique, électronique, soins à la personne, boulangerie, fleuriste, boucher, …",Etablissement public,,357,,Opérationnel,2011,534.0581,99.0,0.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/12/back/bilans
13,CENTRE HOSPITALIER DE NONTRON,Le Centre Hospitalier de Nontron assure ses fonctions d'Hôpital de proximité (lien de l'interface entre la médecine libérale et l'offre de soins structurelle).,Etablissement public,,250,,Opérationnel,2018,882.0,36.0,98.0,2015.0,Oui,240.0,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/13/back/bilans
14,NICOLLIN SAS,"La société NICOLLIN SAS fait partie du Groupe NICOLLIN (NICOLLIN HOLDING – Société
Anonyme à directoire et conseil de surveillance).
Les activités sont principalement tournées vers la gestion des déchets (collecte et tri), le
nettoiement urbain et le stockage de déchets.",Entreprise,,1113,,Opérationnel,2011,28049.271,313.904,0.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/14/back/bilans
15,CENTRE HOSPITALIER DE ROUFFACH,"Le Centre Hospitalier de Rouffach est un établissement public départemental de santé qui
oeuvre dans trois domaines : la psychiatrie, le médico-social et la prise en charge des
personnes âgées.",Etablissement public,,250,,Opérationnel,2011,2775.0,254.0,579.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/15/back/bilans
16,Société Méditerranéenne de Nettoiement,"La SOCIETE MEDITERRANEENNE DE NETTOIEMENT fait partie du Groupe NICOLLIN
(NICOLLIN HOLDING – Société Anonyme à directoire et conseil de surveillance).
Les activités sont principalement tournées vers la gestion des déchets (collecte et tri) et le
nettoiement urbain.",Entreprise,,1113,,Opérationnel,2011,9674.444000000001,173.16,0.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/16/back/bilans
17,Valenciennes Métropole,,Collectivité territoriale (dont EPCI),Communauté d'agglomération,149,192000.0,,2011,2261.0,424.0,8634.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/17/back/bilans
18,Conseil Régional Auvergne,,Collectivité territoriale (dont EPCI),Régions,1887,1350683.0,,2011,41799.0,2792.0,79526.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/18/back/bilans
19,Conseil Général de l'Allier,,Collectivité territoriale (dont EPCI),Départements,1819,343000.0,,2011,7027.76,787.0,30860.16,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/19/back/bilans
20,Conseil Départemental de Saône et Loire,,Collectivité territoriale (dont EPCI),Départements,2227,555999.0,,2013,18858.0,3278.0,32655.0,2010.0,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/20/back/bilans
23,Conseil départemental de la Somme,,Collectivité territoriale (dont EPCI),Départements,2262,571675.0,,2013,11164.0,1133.0,40535.0,,Oui,8000.0,,,5000.0,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/23/back/bilans
24,Centre Hospitalier de Ainay-le-Château,Établissement public de santé,Etablissement public,,450,,Opérationnel,2011,548.0,52.0,260.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/24/back/bilans
25,Coop Atlantique,"Entreprise de la grande distribution, propriétaire de ses magasins. COOP
ATLANTIQUE a réalisé en 2011 un chiffre d’affaire de 907 millions d’euros, et possédait un capital de 24 millions
d’euros. Elle emploie actuellement près de 4300 personnes et ses magasins sont répartis sur 14 départements, entre
Loire et Garonne. Elle assure l’approvisionnement de ces magasins grâce à trois entrepôts, situés à Saintes,
Ingrandes et Condat. Le siège social se situe à Saintes.",Entreprise,,4300,,Opérationnel,2011,18915.0,538.0,205.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/25/back/bilans
27,Centre Hospitalier Départemental « La Candelie »,"Etablissement public de santé, à vocation essentiellement psychiatrique",Etablissement public,,1099,,Opérationnel,2016,1970.7999999999997,124.5,0.0,2011.0,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/27/back/bilans
29,Nice Matin,Presse Régionale Quotidienne,Entreprise,,1000,,Opérationnel,2012,737.0,579.0,25107.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/29/back/bilans
30,Centre hospitalier Nord Deux Sèvres,Activités hospitalières,Etablissement public,,1554,,Opérationnel,2011,3095.32,393.0,0.0,,Non,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/30/back/bilans
31,MAAF Assurances SA,Commercialisation de contrats d'assurances non vie.,Entreprise,,3299,,Opérationnel,2012,360.0,1306.0,5355.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/31/back/bilans
32,GIE EUROPAC,"Groupement d’intérêt économique délivrant des prestations de services administratifs liés
à l'assurance pour le compte des sociétés d'assurances non vie du Groupe MAAF
(évaluation des demandes d'indemnisation, liquidation de sinistres, règlement des
demandes d'indemnisation, ...).",Entreprise,,1823,,Opérationnel,2012,0.0,177.0,4661.0,,Oui,,,,,Non,http://www.bilans-ges.ademe.fr/fr/bilanenligne/detail/index/idElement/32/back/bilans
