"Region","Year","Total CO2 emissions from fossil-fuels and cement production (thousand metric tons of C)","Emissions from solid fuel consumption","Emissions from liquid fuel consumption","Emissions from gas fuel consumption","Emissions from cement production","Emissions from gas flaring","Per capita CO2 emissions (metric tons of carbon)"
(Note: missing values denoted by ".")
Source: Tom Boden and Bob Andres (Oak Ridge National Laboratory); Gregg Marland (Appalachian State University)
DOI: 10.3334/CDIAC/00001_V2017
"Africa",1884,6,6,0,0,0,0,.
"Africa",1885,10,10,0,0,0,0,.
"Africa",1886,13,13,0,0,0,0,.
"Africa",1887,13,13,0,0,0,0,.
"Africa",1888,22,22,0,0,0,0,.
"Africa",1889,36,36,0,0,0,0,.
"Africa",1890,81,81,0,0,0,0,.
"Africa",1891,81,81,0,0,0,0,.
"Africa",1892,131,131,0,0,0,0,.
"Africa",1893,491,491,0,0,0,0,.
"Africa",1894,664,664,0,0,0,0,.
"Africa",1895,911,911,0,0,0,0,.
"Africa",1896,1162,1162,0,0,0,0,.
"Africa",1897,1304,1304,0,0,0,0,.
"Africa",1898,1651,1651,0,0,0,0,.
"Africa",1899,1506,1506,0,0,0,0,.
"Africa",1900,636,636,0,0,0,0,.
"Africa",1901,1067,1067,0,0,0,0,.
"Africa",1902,1590,1590,0,0,0,0,.
"Africa",1903,2155,2155,0,0,0,0,.
"Africa",1904,2433,2433,0,0,0,0,.
"Africa",1905,2800,2800,0,0,0,0,.
"Africa",1906,3198,3198,0,0,0,0,.
"Africa",1907,3529,3529,0,0,0,0,.
"Africa",1908,3658,3658,0,0,0,0,.
"Africa",1909,4199,4199,0,0,0,0,.
"Africa",1910,4752,4752,0,0,0,0,.
"Africa",1911,4603,4600,3,0,0,0,.
"Africa",1912,4900,4877,23,0,0,0,.
"Africa",1913,5351,5340,11,0,0,0,.
"Africa",1914,5336,5252,84,0,0,0,.
"Africa",1915,5351,5326,25,0,0,0,.
"Africa",1916,6346,6297,49,0,0,0,.
"Africa",1917,6917,6802,116,0,0,0,.
"Africa",1918,6749,6512,237,0,0,0,.
"Africa",1919,6945,6756,188,0,0,0,.
"Africa",1920,7656,7531,125,0,0,0,.
"Africa",1921,7638,7485,153,0,0,0,.
"Africa",1922,6543,6397,146,0,0,0,.
"Africa",1923,7928,7799,129,0,0,0,.
"Africa",1924,8360,8222,138,0,0,0,.
"Africa",1925,8783,8631,152,0,0,0,.
"Africa",1926,9399,9253,146,0,0,0,.
"Africa",1927,9235,9080,156,0,0,0,.
"Africa",1928,9490,9229,225,0,35,0,.
"Africa",1929,9773,9441,230,0,101,0,.
"Africa",1930,9198,8885,240,0,72,0,.
"Africa",1931,8043,7726,243,0,74,0,.
"Africa",1932,7268,6920,228,0,120,0,.
"Africa",1933,7779,7449,201,0,129,0,.
"Africa",1934,8881,8547,186,0,147,0,.
"Africa",1935,9802,9483,152,0,166,0,.
