City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),City Location,Country Location
Kaohsiung City Government,31112,Taiwan,Kaohsiung,,2012,2010,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The methodology we applied is based on 2006 IPCC Guidelines for National Greenhouse Gas Inventories. However, in some parts, we use the more suitable methods or coefficients for local GHG emission data calculation, if there are some from researches. For example, the methane and N2O emission in agricultural sector, there are some coefficients which are notified by Council of Agriculture, Executive Yuan, Taiwan.",63624500,"(22.629705, 120.343804)","(23.69781, 120.960515)"
Taipei City Government,31446,Taiwan,Taipei,,2012,2010,Other: IPCC 1995 GWP,"GHG emissions counting in Taipei City contain 6 categories, which include transportation, residence & business, industry, waste, agriculture as well as forestry, and Scope 1 & 2 activities.",15500000,"(25.037525, 121.563782)","(23.69781, 120.960515)"
Greater London Authority,3422,United Kingdom,London,C40,2012,2010,"Other: Defra's 2009 guidance on how to measure and report your GHG emissions. It is based on the GHG Protocol, the internationally recognised standard. http://www.defra.gov.uk/publications/files/pb13309-ghg-guidance-0909011.pdf","The London Energy and Greenhouse Gas Inventory (LEGGI) 2008 is a database of geographically referenced datasets of energy consumption within the Greater London area and estimates of the quantity of resulting greenhouse gases (GHG) – carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) and sulphur hexafluoride (SF6) – emitted into the air. The LEGGI shows energy use and GHG emissions allocated on an “end-user” basis – the general principle here is that energy use and GHG emissions are distributed according to the point of energy consumption (or point of emission if not energy related). GHG emissions from the production of goods are assigned to where the production takes place (except electricity production). GHG emissions from the production of goods that are exported are included, and emissions from the production of goods that are imported are excluded. 

The methodology uses the guidance set out in C1.2

Gas ene electricity data is 2009 (latest national data set), transport is 2010",43400000,"(51.504858, -0.078689)","(55.378051, -3.435973)"
City of Melbourne,31109,Australia,Melbourne,C40,2012,2009,,"Melbourne's methodology and boundary for municipal GHG emissions report are based on our 2008 Zero Net Strategy document.  
http://www.melbourne.vic.gov.au/enterprisemelbourne/environment/Pages/Zeronetemissions.aspx",4870289,"(-37.814107, 144.96328)","(-25.274398, 133.775136)"
Bogotá Distrito Capital,31154,Colombia,Bogotá,C40,2012,2011,International Standard for Determining Greenhouse Gas Emissions for Cities (World Bank),"For Greenhouse Gas Inventory in Bogotá, we used the methodology of the Intergovernmental Panel on Climate Change - IPCC 2006 version, was fiscal year 2008, the period for which it is considered that there was sufficient information for implementation methodology. 2006 version of the IPCC methodology, GHG emissions divided into four (4) groups of origin or modules: 1) power module, 2) module manufacturing processes and product use, 3) module of agriculture, forestry and other land uses and 4) waste module. 

GHG emissions are accounted for in each module as well: In the power module GHG emissions from fuel combustion and fugitive emissions from fuels handling, in the form of Industrial Processes and Product Use, GHG emissions caused by industrial processes (use and transformation of raw materials through chemical and physical processes) and non-energy uses of carbon in fossil fuels, in the form of agriculture, forestry and other land uses are considered emissions and removals GHGs, and the different forms of carbon stored in all land types, and basically waste module GHG emissions generated by the decomposition of organic matter in solid and liquid waste. Basically what is done is to organize information according to the requirements of the methodology and relate it to specific emission factors for each type of power sector where the quality and detail of available information is better, the level of uncertainty in the calculation decreases.",15921690.22,"(4.598056, -74.075833)","(4.570868, -74.297333)"
"City of Portland, OR",14874,USA,"Portland, OR",C40,2012,2010,International Emissions Analysis Protocol (ICLEI),"Portland and Multnomah County gather data on carbon emissions to inform policy and programmatic decisions and to monitor overall progress toward emission goals. In general, the methodology follows guidelines developed by ICLEI — Local Governments for Sustainability and uses the Clean Air and Climate Protection software developed jointly by ICLEI and STAPPA/ALAPCO.
 
The Multnomah County inventory includes all emissions associated with electricity, natural gas, fuel oil (distillate and residual), propane, gasoline, diesel and solid waste disposal. These sources are discussed in further detail below.

Electricity is distributed to customers in Multnomah County by Portland General Electric (PGE) and Pacific Power (PP). Both PGE and PP provide data on the number of kilowatt-hours (kWh) sold to their distribution customers in each of three sectors: residential, commercial and industrial. Because these total numbers include sales of “green power” (i.e., power generated from sources that do not emit carbon emissions) to customers who have elected to purchase such power, these numbers are adjusted to determine how many kWh were sold to customers in Multnomah County from the utilities’ standard sources.
To calculate the carbon emissions from grid power, the inventory uses emission factors provided by eGRID for the Northwest Power Pool of the Western Electricity Coordinating Council.

NW Natural, the sole natural gas utility for Multnomah County, provides data on the total therms used in the county by the residential, commercial and industrial sectors. The carbon emissions attributable to natural gas usage are calculated by multiplying the total number of therms by the conversion factor provided by ICLEI for converting therms to CO2-e. 

Fuel oil data are taken from the U.S. Energy Information Administration’s “Annual Fuel Oil and Kerosene Sales Report” contained in the Petroleum Supply Annual (EIA Report), which publishes data on the sales in Oregon of heating oil, propane and kerosene. Figures are broken down in the three residential, commercial and industrial customer classes. In the absence of more specific information about usage in Multnomah County, the inventory assigns the county a share based on the percent of Oregon’s population living in Multnomah County. ICLEI provides conversion factors for carbon emissions associated with each of these heating fuels. The carbon emissions from these fuels attributable to Multnomah County are calculated by multiplying the total amount of each fuel by the applicable conversion factor.

Emissions from gasoline are calculated based on the number of gallons of gasoline sold in Multnomah County. The State of Oregon, which collects a county gas tax on behalf of Multnomah County, issues quarterly reports detailing the total gallons of gasoline sold in the county. Gasoline sales provide an imperfect measure, since clearly some people who drive in Multnomah County purchase gasoline outside of the county while others purchase it in the county but drive elsewhere. 

The EIA Report contains data for the sales in Oregon of diesel fuel and certain other transportation fuels used for rail, shipping, on-highway use, military uses and off -highway use. Because of the interstate and international character of air, rail and shipping, ICLEI recommends not attributing fuel used by these modes to a given locality, and the inventory excludes these. The inventory allocates to Multnomah County a share of Oregon’s total sales of diesel for on-highway and construction use according to population. 

Metro operates the solid waste transfer stations serving Multnomah County and provides data on the total tonnage of materials landfilled each year from the Metro region. The inventory assigns a share of the total tonnage to Multnomah County based on the percent of Metro population that is in Multnomah County. The Oregon Department of Environmental Quality (DEQ) conducts studies to determine the composition of waste in Oregon landfills. Thus, it is possible to estimate the composition of waste buried in landfills that are attributable to Multnomah County.

Some landfills capture methane gas and flare it. For each landfill that receives waste from Metro, DEQ provides an estimate of the percentage of methane captured. Using ICLEI’s Clean Air and Climate Protection software, and based on the Metro tonnage data, DEQ waste composition studies and estimates of methane recapture rates, the inventory estimates the total amount of methane generated at landfills that is released into the atmosphere. Landfill emissions included in the inventory reflect the cumulative future methane emissions that can be expected from waste disposed in a given year, as opposed to the amount of actual methane emissions from landfills in that year.",7664696,"(45.52, -122.6819)","(37.09024, -95.712891)"
Moscow Government,31174,Russia,Moscow,C40,2012,2011,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,44642239.4,"(55.759878, 37.634249)","(61.52401, 105.318756)"
City of Philadelphia,31181,USA,Philadelphia,C40,2012,2010,Other:,"The Mayor's Office of Sustainability worked closely with the Delaware Valley Regional Planning Commission to align methodologies for the 2010 Community Greenhouse Gas inventory. A detailed description of the methodology will be included in the fina report, which will be published in June 2012.",15174236,"(39.952335, -75.163789)","(37.09024, -95.712891)"
City of Sydney,31114,Australia,Sydney,C40,2012,2005,The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB),"Emissions were estimated based on network electricity and gas data, and estimates for waste and transport emissions.   Source data was converted to emissions using Australian Greenhouse Factors.",5457064,"(-33.8674869, 151.2069902)","(-25.274398, 133.775136)"
City of Austin,1184,USA,Austin,C40,2012,2010,Other: Draft Community-Scale GHG Emissions Accounting and Reporting Protocol (ICLEI),Community inventory includes draft framework provided by 2011 Draft Reporting Protocol from ICLEI.  Community inventory also references emission factors from The Climate Registry Local Governement Operations Protocol and Utility specific emission factors.,14926864,"(30.267153, -97.7430608)","(37.09024, -95.712891)"
