City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),Reason for Increase/Decrease in emissions,City Location,Country Location
Municipalidad de La Paz,50364,Bolivia,La Paz,,2014,2012,Other: Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC),"Norma Boliviana NB-ISO 14064:1 ""Gases de efecto invernadero - Parte 1: Especificaciones con orientación, a nivel de las organizaciones, para la cuantificación y el informe de las emisiones y remosiones de gases de efecto invernadero.",1440.5,,"(-16.5, -68.15)","(-16.290154, -63.588653)"
Bogotá Distrito Capital,31154,Colombia,Bogotá,C40,2014,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"A partir de las proyecciones del inventario GEI línea base de Bogotá se efectuaron las proyecciones para el año 2013 con base en la metodología IPCC 2006 para las categorías de energía, residuos, Agricultura, Silvicultura, Uso del suelo (ASUS) y procesos industriales.

Para el cálculo en función del Alcance 1, se realiza la sumatoria total de las emisiones directas en toneladas de CO2 Equivalentes, exceptuando las emisiones indirectas y ASUS. En el reporte correspondiente al año 2012, se incluyeron las emisiones de Agricultura Silvicultura y Usos del Suelo por lo que para este año las emisiones presentan una aparente disminución. 

Para el alcance 2, se realiza el cálculo de las emisiones indirectas de CO2 equivalente generadas por el consumo de energía eléctrica para Bogotá D.C.",16077576.18,"El incremento se debe a que las proyecciones se calcularon con base en el aumento de la tasa de incremento  del PIB, la población y la tasa de incremento de los escenario propuestos IPCC A2 y B2.","(4.598056, -74.075833)","(4.570868, -74.297333)"
Taipei City Government,31446,Taiwan,Taipei,,2014,2012,"Other: International Emissions Analysis Protocol (ICLEI), 2006 IPCC Guidelines foe National Greenhouse Gas Inventories, IPCC 1995 GWP","GHG emissions counting in Taipei City contain 6 categories, which include transportation, residence & business, industry, waste, agriculture as well as forestry, and Scope 1 & 2 activities. All inventories based on IPCC methodology.",14416100,"In order to achieve the goal of city’s carbon reduction policy, the city’s bureaus implement carbon reduction strategies or activities through consolidated network; participation in international action to reduce greenhouse gases, and the outcomes have been gradually vivid. In addition, 2012 citywide electricity consumption is the lowest for the last five years account for the total emission decline.","(25.037525, 121.563782)","(23.69781, 120.960515)"
"City of London, ON",50558,Canada,"London, ON",,2014,2012,International Emissions Analysis Protocol (ICLEI),"Please see our report, 2012 Community Energy & Greenhouse Gas Inventory: Challenges & Opportunities for information on methodology used

http://www.london.ca/residents/Environment/Energy/Documents/2012_Inventory_Report.pdf",2920000,"Total community energy use in London in 2012 was 52,800 terajoules, six percent above 1990 levels, but nine percent below the recent peak in 2007. Between 2007 and 2012, decreases in energy use were most noted for transportation (15 percent drop). 

In 2012, energy use per person in London was 12 percent below 1990 levels. The biggest improvements can be seen in transportation energy use per person, which was 17 percent lower than 1990. This may reflect the shift in vehicle use and vehicle preferences associated with the oil price spike of 2008, and the subsequent higher fuel prices above the $1.00 per litre range. The slow recovery from the economic recession could also account for some of the reduction in fuel use.

Residential energy use per person was also 17 percent below 1990 levels. This may be attributed to improvements in the energy efficiency of consumer appliances, space heating and cooling systems, home retrofits and new home construction. The unusually warm winter of 2012 also reduced the demand for space heating, with a seven percent difference noted between 2011 and 2012.

Energy use per person related to the local economy in 2012 was five percent lower than 1990. In recent years, energy use by local employers has dropped significantly; with energy use per person being 15 percent lower than it was at its peak in 2004. Part of this can be attributed to the slow recovery from the recession. However, local utilities such as London Hydro and Union Gas have also been increasing efforts to promote energy conservation and demand management with their business client base. As noted above, the unusually warm winter of 2012 also reduced the demand for space heating.

Total greenhouse gas emissions from London have decreased compared to the “peak” in 2005. In 2012, greenhouse gas emissions were 22 percent lower than 2005. In fact, London’s emissions in 2012 were 10 percent lower than the 1990 level used to benchmark emission reduction efforts. This is below the Kyoto Protocol objective (six percent below 1990) that Canada had previously committed to.
However, it is important to note that the unusually warm winter of 2012 also played a part in reducing emissions, and that emissions in 2013 are likely to be higher than 2012.

Greenhouse gas emissions associated with electricity are significantly lower in 2012 (about 60 percent) than their peak in 2003.","(42.9837, -81.2497)","(56.130366, -106.346771)"
Pretoria - Tshwane,49360,South Africa,Pretoria,,2014,2012,International Emissions Analysis Protocol (ICLEI),The methodology as defined in the International Local Government GHG Emissions Analysis Protocol V1.0 and the Local Government Operations Protocol for the Quantification and Reporting of GHG Inventories V1.1 where used where applicable and viable.,11984729,,"(-25.746111, 28.188056)","(-30.559482, 22.937506)"
Santiago de Cali,36037,Colombia,Cali,,2014,2012,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Rating Sources: For the classification of the sources the IPCC methodology (2006 ) and guidelines from countries such as Argentina and Mexico for indirect quantification of GHG emissions was used. The classification of sources of GHG emissions was performed for the following sectors : Industrial , Transportation and Services ( Waste Disposal , Waste water treatment , energy consumption) .

Data Collection: Request for information and review and selection of information for the years 2006, 2010 and 2011.

Calculation Methodology : Calculation methodologies for each of the sectors classified are presented.

 1. Industrial Sector 

                   Calculation of  CO2 eq = GHG Emission  x PCG
                               
where :
                               GHG Emission = AD * FE
                                AD : Activity data
                                FE : Emission Factors

2 . Transportation Sector 

Secondary vehicular traffic density information was used and GHG emissions per km of  track were calculated through the IVE program.

3 . Services sector

        3.1 . Wastewater Management : WWTP Cañaveralejo: The estimation of emissions of greenhouse gases (GHGs ) , was performed using the following equation :

                                            CH4 emission = (ROT * FE ) - RM
where :
CH4 emission = t CH4/year
ROT = total organic waste from domestic wastewater (kg DBO5/año )
EF = emission factor for domestic wastewater (kg BOD5 CH4/kg )
RM = methane recovered and / or flared ( kgCH )

            3.2 . Disposal of solid waste ( Navarro ) Source Area:  LandGEM model ( EPA Landfill Gas Emissions Model ) proposed by the EPA to estimate emissions of greenhouse gases (GHG) was used.

            3.3 . Home energy consumption : Power area. The estimation of emissions of greenhouse gases (GHG) was performed using the following equation :

                                   GHG emission FE = AD *
where :
AD : Activity data
FE : Emission Factors",4566962,The measurement on the previous year and made reference to the reference year are intended to adjust the value of the carbon footprint. So it is not possible to make a statement about this issue,"(3.420556, -76.522222)","(4.570868, -74.297333)"
Dublin City Council,31313,Ireland,Dublin,,2014,2011,Other: Codema (Dublin's energy agency) derived,See LGO1.3 attachment,2942349,,"(53.344479, -6.270843)","(53.41291, -8.24389)"
"City of Portland, OR",14874,USA,"Portland, OR",C40,2014,2012,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Portland and Multnomah County gather data on carbon emissions to inform policy and programmatic decisions and to monitor overall progress toward emission goals. In general, the methodology follows guidelines developed by ICLEI — Local Governments for Sustainability and uses the Clean Air and Climate Protection software developed jointly by ICLEI and STAPPA/ALAPCO.
 
This inventory is for all of Multnomah County. The City of Portland is 79% of Multnomah County by population. The inventory includes all emissions associated with electricity, natural gas, fuel oil (distillate and residual), propane, gasoline, diesel and solid waste disposal. These sources are discussed in further detail below.

Electricity is provided to customers in Multnomah County by Portland General Electric (PGE) and Pacific Power (PP). Both PGE and PP provide data on the number of kilowatt-hours (kWh) sold to their distribution customers in each of three sectors: residential, commercial and industrial. Because these total numbers include sales of “green power” (i.e., power generated from sources that do not emit carbon emissions) to customers who have elected to purchase such power, these numbers are adjusted to determine how many kWh were sold to customers in Multnomah County from the utilities’ standard sources. To calculate the carbon emissions from grid power, the inventory uses emission factors provided by ICLEI for the Northwest Power Pool of the Western Electricity Coordinating Council.

NW Natural, the sole natural gas utility for Multnomah County, provides data on the total therms used in the county by the residential, commercial and industrial sectors. The carbon emissions attributable to natural gas usage are calculated by multiplying the total number of therms by the conversion factor provided by ICLEI for converting therms to CO2-e. 

Fuel oil data are taken from the U.S. Energy Information Administration’s “Annual Fuel Oil and Kerosene Sales Report” contained in the Petroleum Supply Annual (EIA Report), which publishes data on the sales in Oregon of heating oil, propane and kerosene. Figures are broken down in the three residential, commercial and industrial customer classes. In the absence of more specific information about usage in Multnomah County, the inventory assigns the county a share based on the percent of Oregon’s population living in Multnomah County. ICLEI provides conversion factors for carbon emissions associated with each of these heating fuels. The carbon emissions from these fuels attributable to Multnomah County are calculated by multiplying the total amount of each fuel by the applicable conversion factor.

Emissions from gasoline are calculated based on the number of gallons of gasoline sold in Multnomah County. The State of Oregon, which collects a county gas tax on behalf of Multnomah County, issues quarterly reports detailing the total gallons of gasoline sold in the county. Gasoline sales provide an imperfect measure, since clearly some people who drive in Multnomah County purchase gasoline outside of the county while others purchase it in the county but drive elsewhere. 

The EIA Report contains data for the sales in Oregon of diesel fuel and certain other transportation fuels used for rail, shipping, on-highway use, military uses and off -highway use. Because of the interstate and international character of air, rail and shipping, ICLEI recommends not attributing fuel used by these modes to a given locality, and the inventory excludes these. The inventory allocates to Multnomah County a share of Oregon’s total sales of diesel for on-highway and construction use according to population. 

Metro, the regional government for the Portland area, operates the solid waste transfer stations serving Multnomah County and provides data on the total tonnage of materials landfilled each year from the Metro region. The inventory assigns a share of the total tonnage to Multnomah County based on the percent of Metro population that is in Multnomah County. The Oregon Department of Environmental Quality (DEQ) conducts studies to determine the composition of waste in Oregon landfills. Thus, it is possible to estimate the composition of waste buried in landfills that are attributable to Multnomah County.

Some landfills capture methane gas and flare it. For each landfill that receives waste from Metro, DEQ provides an estimate of the percentage of methane captured. Using ICLEI’s Clean Air and Climate Protection software, and based on the Metro tonnage data, DEQ waste composition studies and estimates of methane recapture rates, the inventory estimates the total amount of methane generated at landfills that is released into the atmosphere. Landfill emissions included in the inventory reflect the cumulative future methane emissions that can be expected from waste disposed in a given year, as opposed to the amount of actual methane emissions from landfills in that year.",7511675,"Portland and Multnomah County emissions decreased by -3.49% from 2011. Overall emissions have declined since 1990, currently at -11.6% below 1990 levels. Residential electricity use decreased -4.1% from the previous year. Cmmercial sector electricity use decreased by -.56% and by about -3.6% from the industrial sector.  Natural gas usage decreased in all  three sectors, -8.5% for residential, -6.34% for commercial, and down 10.8% for the industrial sector. For transportation fuels, gasoline usage declined by 7% and diesel fuel usage decreased by 1%. Overall other fossil fuel usage decreased by 10.5% from 2011.","(45.52, -122.6819)","(37.09024, -95.712891)"
City of Philadelphia,31181,USA,Philadelphia,C40,2014,2010,International Emissions Analysis Protocol (ICLEI),"In general the ICLEI protocol was followed, however in some cases data was not available in the same fashion or format as described in the protocol.  

- Electricity, natural gas and steam usage was provided by the local utilities.
- Data related to on-site combustion of fuels was derived using the American Communities Surveys and allocated to Philadelphia based on population.
- Emissions from transportation was derived using the local regional planning commission's transportation model and EPA MOVES. EPA's non road emissions model was used for off road vehicles
- Industrial emissions were estimated by looking at EPAs GHG reporting project data and comparing it to previously known information from utilities.
- Waste data was modeled using MSW and private collection data along with local landfill and incernator emissions based on total waste.  This was counted as a scope 3 emissions because none of these facilities are within the City of Philadelphia",19780964,"Emissions are down from the 2006 benchmark and up slightly from 1990.  There are several contributing factors to this:
- A cleaner Electricity grid from 2006 to 2010
- Reduced Vehicle Miles Traveled from 2006 to 2010
- Industrial Emissions are down from 1990 and 2006
- Building energy use is up from 2006.  It should be noted that two inventory years (2006 and 2010) had very different weather patterns and 2010 was a particularly cold year which is part of the reason for the large increase in natural gas use and in energy use in buildings.)","(39.952335, -75.163789)","(37.09024, -95.712891)"
Greater London Authority,3422,United Kingdom,London,C40,2014,2011,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities).

Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by  road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied.

Please note that as non-CO2 greenhouse gases are minimal within London (less than 1% of emissions) only CO2 emissions are reported here.",39920355,"London's CO2 emissions in 2011 fell by 10 percent on 2010 levels, and by eleven percent on 1990 levels. This is significant as London's population is growing at a faster rate than expected. CO2 emissions reductions from 2010 appear to be driven by a warmer winter, meaning less gas consumption, as well as reductions achieved through national government and Mayoral programmes.","(51.504858, -0.078689)","(55.378051, -3.435973)"
