City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),Increase/Decrease from last year,Reason for Increase/Decrease in emissions,City Location,Country Location
Municipality of Belo Horizonte,35848,Brazil,Belo Horizonte,,2015,12/31/2013 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry.
GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. 
GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases.
A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration.
GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system.
It is worth mentioning that according to this model first-order decay,  For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif.
Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane.",3241713,Increased,"Emissions keeps the growth rate of approximately 5% per year, following the trend projected into the 'business as usual' despite of efforts aimed at its reduction made so far","(-19.916681, -43.934493)","(-14.235004, -51.92528)"
Comune di Udine,36518,Italy,Udine,,2015,12/31/2013 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,613588,Stayed the same,respect to the baseline of 2006 the GHG emissions decreased of 4% in 2013,"(46.0667, 13.2333)","(41.87194, 12.56738)"
"City of Portland, OR",14874,USA,"Portland, OR",C40,2015,12/31/2013 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,7601940,Increased,Emissions increased 1 percent over the previous year. This is likely a function of weather patterns and increased population.,"(45.52, -122.6819)","(37.09024, -95.712891)"
City of Melbourne,31109,Australia,Melbourne,C40,2015,06/30/2014 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","City of Melbourne includes the emissions sources categorised in the GPC trial. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts.  
* Electricity, gas and water data was provided directly by the utility companies. 
* Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics. 
*The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012.
* Water-borne emissions were included from a private study commissioned by the Port Authority in 2012.",5805437,Decreased,"Change of reporting boundary to align with new international standards. The inventory now includes all scope 1, 2 & 3 utilities and waste, transport within the city boundary only and emissions from the Port of Melbourne. The airport is excluded as it is located outside our boundary, services many different local government areas, and we have very limited data.","(-37.814107, 144.96328)","(-25.274398, 133.775136)"
Municipality of Recife,35872,Brazil,Recife,,2015,12/31/2012 12:00:00 AM,,"In the first Inventory of GHG Emissions of Recife emissions of carbon dioxide ( CO2 ) , nitrous oxide ( N2O ) and methane ( CH4 ) , issued within the limits of the municipality during the year 2012 were recorded . The greenhouse gas emissions was performed for each type of GHG and converted paw tons of CO2 equivalent ( CO2e ) according to the global warming potentials below:
• Carbon dioxide ( CO2 ) = 1 CO2e ;
• Methane ( CH4) CO2 e = 21 ;
• Nitrous oxide ( N2O ) = 310 CO2e .
The methodological approach used in the collection and storage of data was based on the International Protocol for Analysis of Emissions ( EIPA ) . The EIPA Protocol was launched in 2009 by ICLEI in order to promote a specific analysis methodology for local governments , detailing emissions at two levels : government and community.
For purposes Rapporteur , the First Emission Inventory of Greenhouse Effect is according to Global Protocol for Communities ( GPC ) , thus the results presented in this paper goes against this global initiative , providing the opportunity for methodological harmonization with other cities around the world .",1883,Other: We do not have data on previous issues.,This is our first inventory.,"(-8.057838, -34.882897)","(-14.235004, -51.92528)"
Bogotá Distrito Capital,31154,Colombia,Bogotá,C40,2015,12/31/2014 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The IPCC guidelines in 2006 for GHG inventories, specifically for modules: energy, industrial processes and products use, waste and forestry module and land uses.",13217521.08,Other: Incrementó y decreció en algunos sectores,"The energy sector has increased GHG emissions inventory, reference to: the manufacturing industries and construction category grew at a 0.02% with respect to the inventory base line 2008. With regard to the road transport emissions category the increase was of 0.46%, in terms of the increase in air transport was 0.053%. For the electric power use category understood the subcategories of; commercial and institutional with a decrease of - 1%, while for the residential subcategory grew 0.087%. For the category of oil and natural gas presented an increase of 0.076%. The consumption of electricity increased by 0.087% these increases were calculated from the projection of the 2008 baseline inventory.","(4.598056, -74.075833)","(4.570868, -74.297333)"
Región Metropolitana de Santiago,31180,Chile,Santiago,C40,2015,12/31/2010 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC Guidelines was used.",19592190,,,"(-33.44889, -70.669265)","(-35.675147, -71.542969)"
Prefeitura de Betim,54623,Brazil,Betim,,2015,12/31/2012 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",A metodologia GPC baseou a elaboração do inventário da cidade de Betim.,5636953,,"Este é o nosso primeiro inventário. Portanto, não é possível quantificar aumentos ou reduções nas emissões de gases de efeito estufa.","(-19.967308, -44.20119)","(-14.235004, -51.92528)"
City of Boulder,54104,USA,Boulder,,2015,12/31/2012 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),This protocol was adopted for the 2012 inventory. Previous inventories followed a different methodology making an apples to apples comparison difficult.,1929492,Decreased,"Our energy provider has added renewable energy sources to its resource mix resulting in a lower carbon intensity of their electricity.

(This is a comparison against our 2005 baseline - the last inventory was not performed using the same methodology.)","(40.0274, -105.2519)","(37.09024, -95.712891)"
City of Hayward,54078,USA,Hayward,,2015,12/31/2010 12:00:00 AM,International Emissions Analysis Protocol (ICLEI),,1075460,Decreased,Overall decrease of 8% since 2005. 3% decline in commercial and residential and 8% decline in transportation.,"(37.6689, -122.0808)","(37.09024, -95.712891)"
