City Name,Account No,Country,City Short Name,C40,Reporting Year,Primary Methodology,Methodology Details,Accounting Year,Total City-wide Emissions (metric tonnes CO2e),Reason for Increase/Decrease in Emissions,Further Information,City Location,Country Location
Prefeitura de São Paulo,31184,Brazil,São Paulo,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,2009-01-01 - 2009-12-31,15115000,"Emission have decreased 1,4% between 2003 to 2009 due to increase in the use of ethanol by car users and the increase on transit ridership (passed from 45% in 2002 to 55% in 2007 of all motorized trips), even despite strong economic growth and increase of mobility levels all over the metropolitan area during the period.","Sao Paulo had GHG reductions on both our methane capture systems, but because our carbon credits have been sold to international markets, they were not considered as Sao Paulo's reduction.","(-23.5505199, -46.6333094)","(-14.235004, -51.92528)"
Municipality of Belo Horizonte,35848,Brazil,Belo Horizonte,,2013,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"In this inventory are presented the following issues:

1) Emissions from Stationary Sector Units, which are sub-sectored emissions in residential, commercial / institutional, industrial and power generation, essentially related to energy consumption profile in each building;

2) Emissions Sector Mobile Units, which are sub-sectored in emissions by road transport, rail and air, reflecting the energy matrix of the transport system deployed in the city;

3) Emissions from Waste Sector, which are sub-sectored in emissions by waste disposal in landfill, biological treatment and waste treatment / disposal of effluents.

GHG emissions by fuel consumption
Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry.
GHG emissions for electricity consumption
The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. 
GHG emissions per treatment and release of liquid effluents
Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide: Arrudas STP, located in Sabará / MG which receiving wastewater of Belo Horizonte and Contagem / MG; Onça STP located in Belo Horizonte and also receives a fraction of sewage Contagem / MG; Olhos D'Água STP and Minas Solidária STP, located in Belo Horizonte and receive exclusive city sewers. There are a fifth STP, ETAF Sarandi/Ressaca that employs physicolchemical processes that do not emit greenhouse gases.
Moreover, a fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration.
Only a fraction derived of Belo Horizonte was considered in all STP which emit methane and nitrous oxide:
Arrudas STP
The Arrudas STP employs an activated sludge system for wastewater treatment, which is an aerobic system generates a high volume of biological sludge. This biological sludge is taken to stabilization in anaerobic reactors equipped with flow meters and methane content of biogas. There are too a firing device for biogás treatment.
Onça STP, Olhos D’Água STP e Minas Solidária STP
These stations employ wastewater treatment UASB reactors for wastewater treatment, which is a system emitting methane and nitrous oxide. These STP not have flow meters and methane content of the biogas. 
Autodepuration of Sewage in water bodies
A portion of the sewage collected by the local utility is disposal without any treatment in any water bodies, and emits methane.
Sewage Treatment Not Collected
The amount of sewage that is collected by the local utility can be arranged in various ways.
GHG emissions by treating municipal solid waste
Landfill
The solids waste generated in Belo Horizonte are taken for disposal in landfill in the municipality of Santa Luzia / MG (CTR Macaúbas), where there is no biogas recovery system. It was assumed, as a measure of conservatism, that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere.
A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system.
It is worth mentioning that according to this model first-order decay, GHG emissions due to waste disposal in landfill in a given year will be distributed in the following years, generating a passive emission, in decreasing order. For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif.
Composting
BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane. 
The calculations and formules can be seen on the attached doc.",2010-01-01 - 2010-12-31,2878873,Emissions have increased mainly because of the cars increase.,,"(-19.9167, -43.9333)","(-14.235004, -51.92528)"
Bogotá Distrito Capital,31154,Colombia,Bogotá,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"For the 2008 baseline GHG Inventory, we used the formula and default emission factors given by IPCC in its 2006 review methodology guides, like this:
Fórmula de cálculo GEI  -IPCC
E = A x Fe
Where, E represents the total gas and pollution emissions in g of GHG by unit of time, A is the activity rated, as an example, kg by year of fuel consumption, Fe is the emission factor. 
Also for the consolidation of GHG emissions data for the city, was established the following algorithm, presented in tones of CO2e:
ECO2eqGEIB = ? [Energy + Industrial Processes + AFOLU + WASTE], 

The data projection for 2012 was:
ECO2eq GHG B 2012 = ? [Energy + Industrial Proceses + Waste],",2012-01-01 - 2012-12-31,15757161.9,,,"(4.598056, -74.075833)","(4.570868, -74.297333)"
Alcaldía Metropolitana de Caracas,31159,Venezuela,Caracas,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,We used only one methodology: the 2006 IPCC Guidelines for National Greenhouse Gas Inventory,2011-01-01 - 2011-12-31,17213803,"This is the first emission inventory made for Caracas, we do not have previous inventories, but we believe the emissions have increased mainly due to the increase in the number of vehicles, more traffic jams and the increase in electricity consumption.","There is no energy industries and heavy maufacturing industries in Caracas, it is not allowed by law.","(10.4696404, -66.8037185)","(6.42375, -66.58973)"
Stadt Zürich,35449,Switzerland,Zürich,,2013,Other: Methodology according to the 2000-Watt society (www.2000watt.ch),"The 2000-Watt society methodology is a concept of sustainable development that uses two indicators: Primary energy demand and greenhouse gas emissions. The methodology is based on the final energy demand. Primary energy factors and GHG emission coefficients are according to the ecoinvent database (database with consistent and transparent, up-to-date Life Cycle Inventory (LCI) data – www.ecoinvent.org/database/). The grey energy of net imported other goods and services is not included in the methodology used by the city of Zurich as there is no specific data available. The methodology does not include emissions from non-energetic sources (e.g. landfills, waste water treatment).

Primary energy, final energy and effective energy: The 2000-watt methodology defines primary energy as the total energy present in the original energy source, plus its grey energy. The energy that reaches the customer, after all conversion and transmission losses, is called final energy. In turn, only a part of this is actually used: the effective energy. The rest is lost as waste heat. Basis for all calculations is the final energy demand.

Territorial principle: Basis of the methodology is the territorial principle. It refers to the energy consumed in the city area and the emissions which occur there. The energy sources grey energy and grey emissions are also taken into account. The grey energy of net imported other goods and service is not included in the 2000 watt society methodology (lack of specific data). However, the aim is to separately calculate and indicate the gray energy of net imported other goods and services.

All calculations in regards to primary energy demand and greenhouse gas emissions are made with the balancing program ECORegion (http://www.ecospeed.ch/).",2010-01-01 - 2010-12-31,1973200,"Between 1990 and 2010 the greenhouse gas emissions in the city of Zurich have been significantly reduced, from approximately 6 tonnes to currently around 5 tonnes per person per year. This represents a reduction of almost 15 percent in the last 20 years. The main part of the reduction has been achieved in the area of buildings. One the one hand, thermo-technical improvements in buildings led to a reduction of the heat requirements. On the other hand, the increased use of district heating and the replacement of oil-fired heating systems contributed by gas heating and heat pump systems resulted in a further reduction of greenhouse gas emissions from fuels.","Further information can be found in the attached documents as well as under:

www.stadt-zuerich.ch/energie","(47.3686498, 8.5391825)","(46.818188, 8.227512)"
City of Vancouver,20113,Canada,Vancouver,C40,2013,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"Community Electricity and Natural Gas Emissions  - Data will be provided by the electricity and natural gas utilities for 2012 but not until April 2013. The data in place right now is an estimate based on the previous year's data.

Community Light-Duty Vehicle (LDV) Emissions
Vancouver's LDV emissions for 1990 and 2008 were estimated using annual Vancouver gasoline sales (from tax proceeds data) multiplied by a correction factor and the gasoline emission factor.  A correction factor was applied recognizing that as the largest regional employment node and with many of the regional recreational facilities, considerably more people travel to Vancouver (and therefore purchase fuel here) from surrounding municipalities than leave it on a daily basis.  
 
The correction factor was determined using Vancouver's original (2005) methodology for estimating LDV GHG emissions which was grounded on real data from AirCare testing on vehicle mileage for 1993, 1996, 1999, and 2002.  While this original methodology was a robust approach, it had to be abandoned due to changes in Air Care testing after 2002.  In this original methodology, Vancouver's share of regional gasoline sales for any given year was determined from the ratio of the total mileage of vehicles registered and insured in Vancouver compared to the total mileage of vehicles registered and insured in the region.  
 
The correction factor for the current methodology was based on the ratio of Vancouver's share of regional fuel sales compared against actual fuel sales in Vancouver.  This approach resulted in a correction factor of 0.99 for 1990 (based on the ratio for 1993 which was closest year for which actual data was available) and 0.91 for 2008 (based on the average ratio for 1996, 1999, and 2002).


Community Heavy Duty Vehicle (HDV) Emissions
Vancouver’s 2012 HDV emissions were based on Metro Vancouver modelling in the  “2005 Lower Fraser valley Air Emissions Inventory & Forecast and Backcast-Full Report” .  This report included new VKT estimates from Translink’s regional transportation model that are applicable for 2005 but not necessarily at the local level for earlier years back to 1990.  

For 2005, Metro Vancouver apportioned greenhouse gas emissions for the spatial regions within the Canadian Lower Fraser Valley.  For 2005, the City of Vancouver was allocated 14.4% of the Metro Vancouver greenhouse gas emissions (11.3 of the Lower Fraser Valley).  

The percentage of HDV’s in the >=5,000kg weight class was only available for the Lower Fraser Valley(LFV). Therefore, the same percentage was applied to Vancouver with the assumption that that breakdown of HDV vehicles sizes was generally the same at the local and regional level.  
 
Community Solid Waste Emissions
Community solid waste emissions were based on a model generated by CRA's July 2012 report. That model estimated past, present, and future landfill gas emissions incorporating anticipated increases in waste tonnages and projections of the past assumptions regarding Vancouver portion of waste in place.",2012-01-01 - 2012-12-31,2657105,The emission number provided is an estimate based on previous year's data. The 2012 utility data is not yet available for building electricity and natural gas consumption in the City of Vancouver. The data will be updated once available in May.,,"(49.261226, -123.1139268)","(56.130366, -106.346771)"
Región Metropolitana de Santiago,31180,Chile,Santiago,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"For data collection and emissions estimation, the 2006 IPCC Guidelines for National Greenhouse Gas, was used, while for the inventory organization was applied the basic international standards for GHG emissions inventories to Community level (Global Protocol for Community-scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0.",2009-01-03 - 2009-12-31,19592190,"There are no inventories of greenhouse gases for the Metropolitan Region specific in prior years, because the only national update has been considered in the National Action Plan on Climate Change. For this reason, you can not have a full appreciation regarding the evolution of emissions in the region. Another factor hindering the proper comparison between inventories are methodological differences between that used for previous inventories (IPCC 1996 guidelines of good practice but 2000 and 2003) and the current (IPCC 2006), which have major differences to Process industry (cement) and Waste Anthropic (Wastewater).",,"(-33.4691199, -70.641997)","(-35.675147, -71.542969)"
City of Paris,31175,France,Paris,C40,2013,Other: Bilan Carbone (R),"We counted the direct and indirect GHG emissions that made possible the activity of the Paris territory as it was in 2009. e.g. for 1 liter of gasoline consumed in a parisian vehicle, the GHG emissions related to oil extraction, refining, and engine combustion are considered.

The methodology used is the Bilan Carbone (R) methodology, that gives national calculation ratios and rules to apply within the French territory. This method gives CO2e emissions aggregated for the 6 GHG gases of the Kyoto protocol.",2009-01-01 - 2009-12-31,7413300,Emissions decreased because of climate action plan impact and energy price increasing...,,"(48.856614, 2.3522219)","(46.227638, 2.213749)"
Free and Hanseatic City of Hamburg,35868,Germany,Hamburg,,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The emissions figures in fields C1.4-C1.6 do solely state Hamburg’s CO2 emissions (sum of Scope 1 and Scope 2 emissions) – they do not include any CH4, N2O etc. emissions. This is due to the statistical principles used in Germany for the ""Energiebilanzen der Bundesländer"" (energy balances of the German federal states) and the ""CO2-Bilanzen der Bundesländer"" (CO2 balances of the German federal states), which are based on the energy consumption within the respective statistical area.
Nevertheless, these figures do reflect Hamburg’s CO2e emissions quite accurately, because CH4, N2O etc. emissions only cause less than 4% of Hamburg’s overall CO2e emissions.",2010-01-01 - 2010-12-31,18286235,"The emissions increase is due to the growing economic activities, i.e. the increase originates in the industry and services sectors.",,"(53.5510846, 9.9936818)","(51.165691, 10.451526)"
City of Copenhagen,31009,Denmark,Copenhagen,C40,2013,Other: National Danish Carbon Emissions methodology for municipalities,"The methodology used provides an inventory of greenhouse gases at the municipality leved, divided into sectors. The sectors are similar to those used for the official Danish emission inventory (IPCC sectors), and include; collective power and heating, Indivitual heating, Mobile sources, Tranportation and machinery, Incustrial processes, Solvents, Agriculture, Land use, and waste depositing and wastewater.

Simplified generalizations of teh equations used for emission calculations are used. These are based on the assumption that emissions of a given activity can be estimated using data descriptive for the size of the activity multiplied by an emission factor pr unit or activity. That is, the inventory is primarily based on scope-2 data on heat and power consumption and scope-1 data on road traffic.

The method includes CO2-, CH4- and N2O-emission in the inventory.

As for the national inventories the calculation is built into several levels (Tiers) with increasedrequirements for municipalities regarding dat quality. Each municipality may use different tiers for different sectors depending on the data available.

Tier 1 is mainly based on the Danish natinoal greenhouse gas inventory data using appropriate distributino keyw, in most cases the municipality's share of total population, for a given activity into municipality level.

Tiwer 2 is more detailed and includes emission factors used in the Danish national greenhouse gas inventories, while municipalities use their own activity data.

At Tier 3, which is the most detailes level; municipalities use municipality specific emission factors and activity data.",2011-01-01 - 2011-12-31,2124000,"The CO2-emissions from the City of Copenhagen in 2011 was 15% lower than the emissions in 2010. The reduction in the emissions is primarily caused by a switch to greener heat and power production in Copenhagen and in Denmark in general. 

With respect to district heating, changing the fuel at one of the City's combined heat and power stations (Amagerværket blok 1) from coal to biomass has made a considerable difference. Compared with 2010, one kilowatt-hour of district heating emitted 10% less CO2 in 2011, and compared with 2005 the fall is as much as 25%.
   
For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 17% less CO2 in 2011 than in 2010, and more than 21% less than in 2005. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.
   
There has also been a fall in electricity consumption in Copenhagen of about 2% compared with 2010.
   
Finally, Carbon emissions from traffic have also dropped slightly compared with 2010.",,"(55.6760968, 12.5683371)","(56.26392, 9.501785)"
