ID,COUNTRY_CODE,COUNTRY,YEAR,CH4__INDEX_1990,CH4__INDEX_2000,CH4__TOTAL,CO2__INDEX_1990,CO2__INDEX_2000,CO2__TOTAL,GHG__AFOLU,GHG__AGR,GHG__AGR_P,GHG__ENER,GHG__ENER_CO2,GHG__ENER_CO2_P,GHG__ENER_FU,GHG__ENER_FU_P,GHG__ENER_IND,GHG__ENER_IND_P,GHG__ENER_MANUF,GHG__ENER_MANUF_P,GHG__ENER_OSECT,GHG__ENER_OSECT_P,GHG__ENER_OTH,GHG__ENER_OTH_P,GHG__ENER_P,GHG__ENER_TRANS,GHG__ENER_TRANS_P,GHG__GHG_CAP,GHG__GHG_GDP,GHG__INDEX_1990,GHG__INDEX_2000,GHG__IND_PROC,GHG__IND_PROC_P,GHG__LULUCF,GHG__OTH,GHG__OTH_P,GHG__TOTAL,GHG__TOTAL_LULU,GHG__WAS,GHG__WAS_P,HFC_PFC__INDEX_1990,HFC_PFC__INDEX_2000,HFC_PFC__TOTAL,HFC__INDEX_1990,HFC__INDEX_2000,HFC__TOTAL,N2O__INDEX_1990,N2O__INDEX_2000,N2O__TOTAL,NF3__INDEX_1990,NF3__INDEX_2000,NF3__TOTAL,PFC__INDEX_1990,PFC__INDEX_2000,PFC__TOTAL,SF6__INDEX_1990,SF6__INDEX_2000,SF6__TOTAL
ARG_1990,ARG,Argentina,1990,100.0,90.732,79891495.0,100.0,68.402,100932724.0,,105060830.0,47.703,97725318.0,,,,,,,,,,,,,44.372,,,6729.0,550.0,100.0,78.571,9540842.0,4.332,67690378.0,,,220240771.0,287931149.0,7913782.0,3.593,,,,,,0.0,100.0,85.311,37852886.0,,,,100.0,479.698,1562949.0,100.0,66.667,717.0
ARG_1991,ARG,Argentina,1991,101.7,92.274,81249739.0,108.751,74.387,109765393.0,,106285160.0,46.128,107550276.0,,,,,,,,,,,,,46.677,,,6941.0,590.0,104.619,82.2,8378334.999999999,3.636,68967490.0,,,230413756.0,299381247.0,8199985.000000001,3.559,,,,,,0.0,101.341,86.455,38360335.0,,,,66.386,318.45,1037573.0000000001,100.0,66.667,717.0
ARG_1992,ARG,Argentina,1992,103.276,93.704,82508600.0,111.271,76.111,112308399.0,,107124924.0,45.756,110264802.0,,,,,,,,,,,,,47.097,,,6957.0,535.0,106.303,83.523,8303303.0,3.547,70244603.0,,,234122379.0,304366981.0,8429350.0,3.6,,,,,,0.0,101.301,86.421,38345344.0,,,,61.384,294.46,959407.0,87.65,58.434,628.0
ARG_1993,ARG,Argentina,1993,105.183,95.434,84032371.0,113.462,77.61,114520671.0,,109493540.0,45.706,112397373.0,,,,,,,,,,,,,46.918,,,7023.0,492.0,108.772,85.463,8912404.0,3.72,71521715.0,,,239560142.0,311081857.0,8756825.0,3.655,,,,,,0.0,105.511,90.013,39939083.0,,,,68.289,327.58,1067318.0,97.509,65.006,699.0
ARG_1994,ARG,Argentina,1994,103.59,93.989,82759523.0,119.21,81.541,120321610.0,,107691290.0,44.208,117142573.0,,,,,,,,,,,,,48.088,,,7049.0,474.0,110.606,86.904,9721201.0,3.991,72792827.0,,,243598693.0,316391520.0,9043629.0,3.713,,,,,,0.0,105.686,90.162,40005169.0,,,,32.741,157.057,511722.0,93.333,62.222,669.0
ARG_1995,ARG,Argentina,1995,102.913,93.375,82218785.0,121.34,82.998,122471459.0,,105635342.0,43.205,120062465.0,,,,,,,,,,,,,49.105,,,6987.0,450.0,111.015,87.225,9328908.0,3.816,75437827.0,,,244499373.0,319937200.0,9472659.0,3.874,,,,,,0.0,103.844,88.591,39308090.0,,,,32.011,153.554,500308.0,101.815,67.877,730.0
ARG_1996,ARG,Argentina,1996,102.499,92.999,81887924.0,131.644,90.046,132871603.99999999,,106528958.0,41.538,130263551.0,,,,,,,,,,,,,50.792,,,7241.0,486.0,116.447,91.493,9836968.0,3.836,78082827.0,,,256463932.0,334546759.0,9834455.0,3.835,,,,,,0.0,108.85,92.861,41202880.0,,,,32.042,153.703,500793.0,101.914,67.942,731.0
ARG_1997,ARG,Argentina,1997,100.242,90.951,80084465.0,135.979,93.011,137246816.0,,103297306.0,39.991,133973552.0,,,,,,,,,,,,,51.867,,,7208.0,464.0,117.282,92.15,10826800.0,4.192,97484993.0,,,258303620.0,355788613.0,10205962.0,3.951,,,,,,0.0,107.007,91.288,40505106.0,,,,29.845,143.168,466468.0,106.667,71.111,765.0
ARG_1998,ARG,Argentina,1998,100.781,91.44,80515301.0,140.561,96.146,141872342.0,,102827565.0,39.139,138994626.0,,,,,,,,,,,,,52.905,,,7249.0,438.0,119.29,93.727,10418140.0,3.965,90102993.0,,,262725063.00000003,352828056.0,10484732.0,3.991,,,,,,0.0,105.64,90.123,39987878.0,,,,22.315,107.046,348777.0,106.657,71.105,765.0
ARG_1999,ARG,Argentina,1999,100.364,91.062,80182229.0,141.814,97.003,143136260.0,,102818201.0,38.852,140861600.0,,,,,,,,,,,,,53.228,,,7221.0,425.0,120.158,94.409,10039092.0,3.794,82720993.0,,,264637841.0,347358834.0,10918948.0,4.126,,,,,,0.0,108.132,92.248,40931019.0,,,,24.792,118.926,387483.0,118.493,78.995,850.0
