Entity,Code,Year,"CO2 concentrations (NOAA, 2018)"
World,OWID_WRL,-803719,207.29
World,OWID_WRL,-803182,202.23
World,OWID_WRL,-802573,204.86
World,OWID_WRL,-802060,207.5
World,OWID_WRL,-801975,202.92
World,OWID_WRL,-801759,202.65
World,OWID_WRL,-800922,198.66
World,OWID_WRL,-799286,198.68
World,OWID_WRL,-796731,200.49
World,OWID_WRL,-795429,197.91
World,OWID_WRL,-794903,198.79
World,OWID_WRL,-793737,204.62
World,OWID_WRL,-793172,208.79
World,OWID_WRL,-791903,218.39
World,OWID_WRL,-791569,213.36
World,OWID_WRL,-790667,214.45
World,OWID_WRL,-790081,224.69
World,OWID_WRL,-789107,230.55
World,OWID_WRL,-788689,227.38
World,OWID_WRL,-788003,235.49
World,OWID_WRL,-787544,238.64
World,OWID_WRL,-786742,257.02
World,OWID_WRL,-786529,257.2
World,OWID_WRL,-785854,266
World,OWID_WRL,-785406,269.36
World,OWID_WRL,-784613,264.35
World,OWID_WRL,-784240,262.23
World,OWID_WRL,-783569,259.66
World,OWID_WRL,-783084,255.85
World,OWID_WRL,-782312,260.92
World,OWID_WRL,-781249,255.02
World,OWID_WRL,-780778,257.44
World,OWID_WRL,-779937,251.51
World,OWID_WRL,-779613,257.21
World,OWID_WRL,-778769,252.52
World,OWID_WRL,-778239,254.43
World,OWID_WRL,-777418,254.69
World,OWID_WRL,-777108,254.93
World,OWID_WRL,-776283,252.46
World,OWID_WRL,-775732,247.3
World,OWID_WRL,-774833,248.92
World,OWID_WRL,-774382,245.32
World,OWID_WRL,-773588,241.74
World,OWID_WRL,-773009,238.39
World,OWID_WRL,-772094,239.23
World,OWID_WRL,-771734,237.78
World,OWID_WRL,-771300,246.03
World,OWID_WRL,-771046,243.85
World,OWID_WRL,-770788,246.49
World,OWID_WRL,-770525,243.89
World,OWID_WRL,-770225,239.71
World,OWID_WRL,-769863,234.24
World,OWID_WRL,-769569,236.32
World,OWID_WRL,-769071,229.56
World,OWID_WRL,-768649,230.63
World,OWID_WRL,-767701,225.87
World,OWID_WRL,-767111,221.64
World,OWID_WRL,-766167,223.82
World,OWID_WRL,-765797,224.86
World,OWID_WRL,-764859,230.62
World,OWID_WRL,-764239,232.12
World,OWID_WRL,-763901,229.41
World,OWID_WRL,-763637,233.66
World,OWID_WRL,-763232,222.93
World,OWID_WRL,-762727,223.89
World,OWID_WRL,-761821,219.95
World,OWID_WRL,-761152,214
World,OWID_WRL,-760216,214.69
World,OWID_WRL,-759914,216.64
World,OWID_WRL,-758990,222.71
World,OWID_WRL,-758566,225.62
World,OWID_WRL,-758158,225.37
World,OWID_WRL,-757928,223.02
World,OWID_WRL,-757612,226.94
World,OWID_WRL,-757186,222.72
World,OWID_WRL,-756412,218.35
World,OWID_WRL,-755835,213.61
World,OWID_WRL,-754901,209.45
World,OWID_WRL,-754616,208.1
World,OWID_WRL,-753637,203.3
World,OWID_WRL,-753165,199.05
World,OWID_WRL,-751985,203.9
World,OWID_WRL,-751539,195.43
World,OWID_WRL,-750616,197.5
World,OWID_WRL,-750024,193.55
World,OWID_WRL,-749086,191.3
World,OWID_WRL,-748756,192.08
World,OWID_WRL,-747864,190.17
World,OWID_WRL,-747313,188.68
World,OWID_WRL,-746387,187.54
World,OWID_WRL,-745990,187.95
World,OWID_WRL,-745227,187.92
World,OWID_WRL,-744670,190.24
World,OWID_WRL,-743721,187.29
World,OWID_WRL,-742573,188.97
World,OWID_WRL,-742009,188.18
World,OWID_WRL,-741112,187.33
World,OWID_WRL,-740695,188.65
World,OWID_WRL,-739924,189.14
World,OWID_WRL,-739380,184.77
World,OWID_WRL,-738511,183.39
World,OWID_WRL,-738156,185.4
World,OWID_WRL,-737225,185.61
World,OWID_WRL,-736631,191.74
World,OWID_WRL,-735710,204.52
World,OWID_WRL,-735320,206.92
World,OWID_WRL,-734572,213.14
World,OWID_WRL,-734157,217.19
World,OWID_WRL,-733460,217.88
World,OWID_WRL,-733185,214.66
World,OWID_WRL,-732513,216.15
World,OWID_WRL,-732072,210.6
World,OWID_WRL,-731379,207.72
World,OWID_WRL,-731044,208.11
World,OWID_WRL,-730372,213.73
World,OWID_WRL,-729911,211.62
World,OWID_WRL,-729234,210.7
World,OWID_WRL,-728958,210.16
World,OWID_WRL,-728310,212.17
World,OWID_WRL,-727887,210.01
World,OWID_WRL,-727038,211.08
World,OWID_WRL,-726644,210.24
World,OWID_WRL,-725949,210.07
World,OWID_WRL,-724627,211.43
World,OWID_WRL,-724300,211.08
World,OWID_WRL,-723524,211.49
World,OWID_WRL,-723025,210.48
World,OWID_WRL,-722192,214.01
World,OWID_WRL,-721830,212.55
World,OWID_WRL,-721045,212.11
World,OWID_WRL,-720556,216.1
World,OWID_WRL,-719740,218.96
World,OWID_WRL,-719458,219.2
World,OWID_WRL,-718641,217.04
World,OWID_WRL,-718137,212.03
World,OWID_WRL,-717337,200.82
World,OWID_WRL,-716828,193.46
World,OWID_WRL,-716005,189.88
World,OWID_WRL,-715398,198.43
World,OWID_WRL,-714636,210.51
World,OWID_WRL,-714360,213.6
World,OWID_WRL,-713615,227.58
World,OWID_WRL,-713166,223.14
World,OWID_WRL,-712454,227.08
World,OWID_WRL,-712116,227.64
World,OWID_WRL,-711363,223.89
World,OWID_WRL,-710294,224
World,OWID_WRL,-710071,224.12
World,OWID_WRL,-709449,225.39
World,OWID_WRL,-709033,224.9
World,OWID_WRL,-708506,227.03
World,OWID_WRL,-707960,230.51
World,OWID_WRL,-707504,231.43
World,OWID_WRL,-707009,234.84
World,OWID_WRL,-706463,233.11
World,OWID_WRL,-706250,233.58
World,OWID_WRL,-705694,233.51
World,OWID_WRL,-705361,238.85
World,OWID_WRL,-704761,236.05
World,OWID_WRL,-704543,236.05
World,OWID_WRL,-704103,237.66
World,OWID_WRL,-703777,237.18
World,OWID_WRL,-703294,235.09
World,OWID_WRL,-703103,234.04
World,OWID_WRL,-702632,233.54
World,OWID_WRL,-702301,232.83
World,OWID_WRL,-701846,232.28
World,OWID_WRL,-701519,233.35
World,OWID_WRL,-701060,230.59
World,OWID_WRL,-700784,232.18
World,OWID_WRL,-700251,232.16
World,OWID_WRL,-700043,230.88
World,OWID_WRL,-699575,232.46
World,OWID_WRL,-699319,235.42
World,OWID_WRL,-698865,236.61
World,OWID_WRL,-698535,236.72
World,OWID_WRL,-698154,237.21
World,OWID_WRL,-697915,239.73
World,OWID_WRL,-697489,239.01
World,OWID_WRL,-697266,238.86
World,OWID_WRL,-696803,241.83
World,OWID_WRL,-696556,240.9
World,OWID_WRL,-696089,241.03
World,OWID_WRL,-695797,239.88
World,OWID_WRL,-695392,238.42
World,OWID_WRL,-695140,239.44
World,OWID_WRL,-694695,238.13
World,OWID_WRL,-694485,238.05
World,OWID_WRL,-694032,238.74
World,OWID_WRL,-693782,236.8
World,OWID_WRL,-693309,239.8
World,OWID_WRL,-692999,239.31
World,OWID_WRL,-692587,240.46
World,OWID_WRL,-692330,239.34
World,OWID_WRL,-691871,237.76
World,OWID_WRL,-691624,243.7
World,OWID_WRL,-691127,238.47
World,OWID_WRL,-690882,239.3
World,OWID_WRL,-690368,243.56
World,OWID_WRL,-690018,239.38
World,OWID_WRL,-689518,238.42
World,OWID_WRL,-689272,239.29
World,OWID_WRL,-688786,236.45
World,OWID_WRL,-688525,235.8
World,OWID_WRL,-688001,232.27
World,OWID_WRL,-687743,232.07
World,OWID_WRL,-687208,230.67
World,OWID_WRL,-686860,227.64
World,OWID_WRL,-686350,227.65
World,OWID_WRL,-686050,226.73
World,OWID_WRL,-685495,222.97
World,OWID_WRL,-685204,222.7
World,OWID_WRL,-684632,222.62
World,OWID_WRL,-684319,220.63
World,OWID_WRL,-683730,220.62
World,OWID_WRL,-683345,221.82
World,OWID_WRL,-682808,224.36
World,OWID_WRL,-682474,225.64
World,OWID_WRL,-681879,222.7
