Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
World,CAIT,Total including LUCF,All GHG,MtCO₂e,48939.71,47990.47,47413.95,46760.47,46647.29,46047.13,45427.61,44891.4,44758.58,43029.01,43003.97,42644.63,41831.65,40300.03,39437.14,37618.01,36727.84,35701.77,35607.73,34948.94,34929.19,35387.89,34068.91,33703.46,32977.47,32766.49,32670.32,32813.46,32645.91
China,CAIT,Total including LUCF,All GHG,MtCO₂e,11705.81,11408.26,11207.66,11149.68,11155.76,11144.76,10690.04,10364.83,9872.37,9046.19,8455.65,8165.43,7547.54,6862.81,6135.95,5386.89,4769.03,4459.91,4249.7,4053.37,4103.23,3963.61,3954.75,3918.3,3528.81,3377.79,3154.54,3023.38,2873.71
United States,CAIT,Total including LUCF,All GHG,MtCO₂e,5794.35,5613.64,5676.92,5586.69,5711.15,5690.79,5550.87,5796.78,6041.59,5793.66,6220.21,6397.67,6306.81,6401.12,6387.22,6306.12,6246.95,6406.04,6446.2,6291.25,6293.8,6258.47,6010.62,5843.9,5782.2,5691.26,5583.8,5501.92,5543.47
India,CAIT,Total including LUCF,All GHG,MtCO₂e,3346.63,3202.82,3073.24,3002.17,2988.34,2816.49,2758.53,2610.32,2576.93,2467.78,2317.48,2219.62,2073.67,1977.76,1905.13,1817.42,1769.79,1747.49,1498.2,1460.24,1382.26,1348.09,1289.63,1240.44,1174.78,1128.44,1096.71,1064.49,1009.44
European Union (27),CAIT,Total including LUCF,All GHG,MtCO₂e,3333.16,3401.95,3387.97,3046.38,2990.49,3136.34,3213.21,3274.4,3646.5,3566.88,3841.03,3932.66,3968.63,3973.71,4005.19,4008.81,3921.02,3940.21,3933.88,3934.85,4008.29,4048.58,4126.4,4018.79,3968.32,3984.95,4058.11,4202.13,4279.18
Russia,CAIT,Total including LUCF,All GHG,MtCO₂e,1992.08,1939.26,1918.26,1791.21,1841.26,1844.48,1886.41,1864.86,1690.93,1575.54,1727.25,1690.16,1682.12,1608.1,1601.63,1556.63,1477.17,1455.44,1831.09,1772.68,1740.23,1755.59,1889.18,1930.88,2011.47,2294.62,2551.94,2788.7,2885.12
Indonesia,CAIT,Total including LUCF,All GHG,MtCO₂e,1703.86,1466.05,1453.23,2070.24,2016.28,1636.17,1695.27,1675.72,1125.25,1483.61,1087.94,1100.24,1655.23,1242.7,1517.02,1167.69,1500.98,1019.35,1191.82,1261.56,1373.56,2142.82,1179.0,1360.88,1327.87,1311.27,1295.01,1274.43,1257.1
Brazil,CAIT,Total including LUCF,All GHG,MtCO₂e,1420.58,1461.43,1443.98,1354.28,1372.79,1335.02,1311.58,1270.59,2104.61,2008.85,2030.84,2029.48,1994.55,2004.36,1995.86,1948.37,1935.36,1901.78,1807.03,1810.51,1800.62,1766.32,1735.71,1726.08,1706.03,1689.7,1679.5,1669.56,1642.29
Japan,CAIT,Total including LUCF,All GHG,MtCO₂e,1154.72,1203.32,1225.67,1215.33,1251.32,1289.0,1277.48,1235.29,1130.13,1073.57,1133.32,1200.21,1164.29,1186.26,1185.28,1193.4,1185.65,1153.99,1198.54,1182.31,1156.66,1203.81,1215.95,1201.85,1186.79,1129.63,1137.15,1123.86,1109.37
Iran,CAIT,Total including LUCF,All GHG,MtCO₂e,828.34,814.79,796.03,786.5,794.19,781.95,761.05,750.7,699.33,693.31,669.06,655.51,617.12,569.0,530.16,493.23,463.93,439.25,446.36,427.53,389.67,381.58,364.14,349.89,332.67,300.14,301.84,280.88,240.54
