Source,Property,Value
historical_emissions_cait,Title (75 character limit),Climate Watch Historical GHG Emissions
historical_emissions_cait,Technical Title,Climate Watch Historical Country Greenhouse Gas Emissions Data (1990-2017)
historical_emissions_cait,Source Organization,World Resources Institute
historical_emissions_cait,Learn More Link,https://www.climatewatchdata.org/ghg-emissions
historical_emissions_cait,"Function/Summary: Tagline description of what data says 
(150 character limit)",Historical country-level and sectoral GHG emission data (1990-2017)
historical_emissions_cait,"Description: 
Recap data name, source organization
Objectives/ data type/ Methodology","As of December 2020, Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 185 countries and the European Union (EU) for the period 1990-2016, including emissions of the six major GHGs from most major sources and sinks.  Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. See http://cait.wri.org/docs/CAIT2.0_CountryGHG_Methods.pdf for details regarding data source and methodology."
historical_emissions_cait,Cautions: Known use limitations/cautions regarding: geographic/content coverage; source (inconsistency); methodology ,"Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2019, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2019. As of March 2020, emissions from European Union (27) for all years no longer include emissions from United Kingdom on Climate Watch."
historical_emissions_cait,Geographic Coverage: global; quasi-global; select regions/countries,Global
historical_emissions_cait,Date of Content: List all years; for multiple years (2001 - 2014),1990-2017
historical_emissions_cait,Frequency of Updates: annual; every x years/months/days; no updates planned,Annual. Last updated December 2020.
historical_emissions_cait,Summary of License,Creative Commons Attribution-NonCommercial 4.0 International license
historical_emissions_cait,Link to License or Terms of Service,https://creativecommons.org/licenses/by/4.0/
historical_emissions_cait,Citation,"Climate Watch Historical GHG Emissions. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org/ghg-emissions"
historical_emissions_cait,Published Language,English
historical_emissions_cait,Published Title (If not English),
historical_emissions_pik,Title (75 character limit),PIK-PRIMAP historical emissions
historical_emissions_pik,Technical Title,The PRIMAP-hist national historical emissions time series (1850-2017)
historical_emissions_pik,Source Organization,Postdam Institute For Climate Impact Research
historical_emissions_pik,Learn More Link,http://dataservices.gfz-potsdam.de/pik/showshort.php?id=escidoc:4736895
historical_emissions_pik,"Function/Summary: Tagline description of what data says 
(150 character limit)",Historical country-level and sectoral GHG emission data (1850-2017)
historical_emissions_pik,"Description: 
Recap data name, source organization
Objectives/ data type/ Methodology","The PRIMAP-hist dataset combines several published datasets to create a comprehensive set of greenhouse gas emission pathways for every country and Kyoto gas covering the years 1850 to 2017, and all UNFCCC (United Nations Framework Convention on Climate Change) member states, as well as most non-UNFCCC territories. The scenario in which country reported data (CRF, BUR, UNFCCC) is prioritized over third party data (CDIAC, FAO, Andrew, EDGAR, BP) is used on Climate Watch. The data resolves the main IPCC (Intergovernmental Panel on Climate Change) 2006 categories. Subsector data for Energy, Industrial Processes, Agriculture and Waste is available for CO2, CH4, and N2O. Due to data availability and methodological issues, version 2.1 of the PRIMAP-hist dataset does not include emissions from land use, land use change, and forestry (LULUCF). Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report."
historical_emissions_pik,Cautions: Known use limitations/cautions regarding: geographic/content coverage; source (inconsistency); methodology ,"Multiple scenarios are published by PIK. Climate Watch presents country reported (HISTCR), extrapolated data using AR4 GWP values.<br><br>When using this dataset or one of its updates, please also cite the data description article (Gutschow et al., 2016, http://doi.org/10.5194/essd-8-571-2016) to which this data are  deducting United Kingdom's emissions from European Union (28) emissions reported in original PIK data for all years."
historical_emissions_pik,Geographic Coverage: global; quasi-global; select regions/countries,Global
historical_emissions_pik,Date of Content: List all years; for multiple years (2001 - 2014),1850-2017
